t_ms,value
0.0,50
5.0,50
10.0,48
13.0,49
15.0,49
24.0,47
29.0,-145
32.0,-145
36.0,-235
38.0,-351
41.0,-501
44.0,-501
46.0,-656
48.0,-819
51.0,-819
54.0,-965
58.0,-965
64.0,-1155
67.0,-1411
70.0,-1554
72.0,-1692
74.0,-1692
78.0,-1827
81.0,-1955
83.0,-1955
89.0,-2080
92.0,-2207
98.0,-2447
100.0,-2560
103.0,-2560
110.0,-2768
113.0,-2871
115.0,-2871
118.0,-2974
121.0,-3068
123.0,-3068
127.0,-3158
129.0,-3255
131.0,-3255
136.0,-3358
138.0,-3450
141.0,-3526
143.0,-3526
146.0,-3613
148.0,-3703
150.0,-3703
152.0,-3777
154.0,-3777
159.0,-3847
161.0,-3929
164.0,-4010
167.0,-4010
169.0,-4075
171.0,-4142
179.0,-4215
181.0,-4284
186.0,-4345
188.0,-4405
191.0,-4405
196.0,-4540
198.0,-4540
201.0,-4598
204.0,-4658
207.0,-4658
213.0,-4772
218.0,-4821
221.0,-4878
223.0,-4930
225.0,-4930
232.0,-5024
234.0,-5024
236.0,-5071
239.0,-5122
243.0,-5122
247.0,-5205
250.0,-5247
255.0,-5290
257.0,-5290
262.0,-5123
265.0,-5379
267.0,-5417
269.0,-5417
272.0,-5446
281.0,-5528
284.0,-5558
288.0,-5592
291.0,-5624
294.0,-5624
296.0,-5650
298.0,-5684
301.0,-5684
304.0,-5711
306.0,-5748
309.0,-5748
311.0,-5767
315.0,-5767
318.0,-5832
323.0,-5858
325.0,-5858
329.0,-5875
331.0,-5890
334.0,-5919
336.0,-5919
339.0,-5941
342.0,-5941
344.0,-5973
346.0,-5995
352.0,-6015
354.0,-6038
357.0,-6038
359.0,-6047
361.0,-6047
366.0,-6090
370.0,-6090
372.0,-6108
375.0,-6123
377.0,-6143
380.0,-6143
382.0,-6167
385.0,-6167
388.0,-6176
393.0,-6182
395.0,-6211
399.0,-6236
404.0,-6245
409.0,-6244
412.0,-6276
414.0,-6278
416.0,-6278
422.0,-6321
425.0,-6321
427.0,-6338
429.0,-6334
432.0,-6334
437.0,-6341
442.0,-6371
445.0,-6371
450.0,-6414
453.0,-6424
455.0,-6424
459.0,-6425
462.0,-6454
465.0,-6475
467.0,-6475
470.0,-6471
472.0,-6471
477.0,-6515
479.0,-6515
486.0,-6553
494.0,-6574
497.0,-6598
499.0,-6598
501.0,-6611
504.0,-6611
506.0,-6626
509.0,-6650
511.0,-6650
514.0,-6663
519.0,-6687
522.0,-6695
525.0,-6709
529.0,-6721
531.0,-6721
534.0,-6733
536.0,-6754
540.0,-6754
542.0,-6771
545.0,-6786
548.0,-6786
552.0,-6788
554.0,-6802
557.0,-6814
562.0,-6830
564.0,-6844
566.0,-6844
572.0,-6859
574.0,-6864
576.0,-6871
578.0,-6871
581.0,-6879
583.0,-6879
585.0,-6890
588.0,-6906
594.0,-6906
597.0,-6927
600.0,-6927
607.0,-6931
609.0,-6961
611.0,-6961
614.0,-6969
616.0,-6972
618.0,-6972
621.0,-6969
623.0,-6969
628.0,-6997
633.0,-7007
636.0,-7019
641.0,-7019
643.0,-7022
646.0,-7022
649.0,-7028
655.0,-7046
658.0,-7042
660.0,-7049
663.0,-7049
666.0,-7057
669.0,-7060
674.0,-7076
676.0,-7085
679.0,-7085
681.0,-7085
683.0,-7084
686.0,-7084
690.0,-7086
694.0,-7107
696.0,-7099
699.0,-7099
704.0,-7109
708.0,-7117
713.0,-7117
716.0,-7135
719.0,-7135
724.0,-7133
727.0,-7143
729.0,-7143
732.0,-7142
734.0,-7142
737.0,-7148
741.0,-7141
744.0,-7156
749.0,-7157
753.0,-7158
756.0,-7172
759.0,-7169
762.0,-7169
764.0,-7168
766.0,-7177
768.0,-7177
771.0,-7183
775.0,-7183
779.0,-7183
782.0,-7183
786.0,-7193
792.0,-7196
794.0,-7198
797.0,-7198
799.0,-7187
801.0,-7187
804.0,-7200
806.0,-7209
810.0,-7209
814.0,-7209
817.0,-7196
820.0,-7208
824.0,-7211
827.0,-7215
829.0,-7215
831.0,-7211
834.0,-7216
836.0,-7216
838.0,-7211
846.0,-7211
849.0,-7226
852.0,-7214
857.0,-7218
859.0,-7227
861.0,-7231
864.0,-7231
866.0,-7220
868.0,-7220
870.0,-7223
875.0,-7233
878.0,-7233
882.0,-7236
885.0,-7234
888.0,-7234
892.0,-7232
898.0,-7234
901.0,-7239
911.0,-7241
913.0,-7250
915.0,-7250
922.0,-7235
932.0,-7249
936.0,-7249
947.0,-7253
949.0,-7258
952.0,-7258
956.0,-7243
960.0,-7245
963.0,-7251
968.0,-7262
970.0,-7241
