t_ms,value
0.0,60
9.0,62
11.0,67
14.0,60
16.0,60
20.0,72
24.0,62
29.0,69
34.0,62
36.0,62
38.0,63
41.0,63
44.0,69
47.0,64
50.0,64
52.0,73
55.0,73
58.0,73
62.0,67
68.0,63
74.0,61
77.0,60
80.0,129
82.0,-127
86.0,-225
89.0,-348
92.0,-348
94.0,-401
101.0,-465
106.0,-529
108.0,-631
111.0,-923
113.0,-1104
120.0,-1281
122.0,-1432
125.0,-1432
127.0,-1566
129.0,-1566
136.0,-1876
142.0,-2010
144.0,-2142
148.0,-2274
150.0,-2274
152.0,-2378
155.0,-2378
157.0,-2493
159.0,-2618
161.0,-2618
165.0,-2732
169.0,-2833
175.0,-2939
177.0,-3045
183.0,-3045
186.0,-3229
189.0,-3333
191.0,-3333
193.0,-3424
195.0,-3424
199.0,-3495
205.0,-3676
208.0,-3676
213.0,-3746
215.0,-3816
220.0,-3901
223.0,-3973
225.0,-3973
228.0,-4040
230.0,-4111
241.0,-4187
245.0,-4305
248.0,-4367
250.0,-4367
256.0,-4483
259.0,-4539
262.0,-4539
264.0,-4593
268.0,-4651
270.0,-4651
273.0,-4692
275.0,-4692
278.0,-4749
280.0,-4803
283.0,-4803
287.0,-4838
291.0,-4880
293.0,-4935
295.0,-4935
301.0,-4978
309.0,-5106
312.0,-5106
315.0,-5133
318.0,-5168
323.0,-5168
326.0,-5253
328.0,-5253
331.0,-5276
338.0,-5311
340.0,-5349
342.0,-5381
348.0,-5404
350.0,-5404
355.0,-5433
358.0,-5471
361.0,-5489
363.0,-5521
369.0,-5557
371.0,-5557
377.0,-5575
379.0,-5592
382.0,-5618
384.0,-5649
388.0,-5649
390.0,-5663
392.0,-5694
395.0,-5694
397.0,-5709
401.0,-5731
404.0,-5731
406.0,-5743
412.0,-5778
415.0,-5799
418.0,-5812
423.0,-5840
426.0,-5853
428.0,-5853
431.0,-5856
433.0,-5856
440.0,-5918
443.0,-5930
449.0,-5939
451.0,-5964
454.0,-5964
459.0,-5972
462.0,-5996
464.0,-6018
466.0,-6018
474.0,-6034
476.0,-6064
481.0,-6079
483.0,-6079
487.0,-6079
491.0,-6098
494.0,-6113
496.0,-6113
498.0,-6119
501.0,-6141
503.0,-6141
508.0,-6168
512.0,-6170
518.0,-6199
520.0,-6199
522.0,-6208
524.0,-6208
527.0,-6212
529.0,-6212
531.0,-6226
534.0,-6245
536.0,-6245
539.0,-6244
541.0,-6244
546.0,-6246
550.0,-6281
552.0,-6284
556.0,-6285
559.0,-6297
563.0,-6313
565.0,-6313
568.0,-6317
571.0,-6317
576.0,-6334
579.0,-6334
581.0,-6330
585.0,-6344
588.0,-6367
591.0,-6367
593.0,-6366
599.0,-6366
601.0,-6389
604.0,-6389
608.0,-6398
610.0,-6395
613.0,-6395
619.0,-6405
622.0,-6427
