t_ms,value
0.0,63
4.0,61
6.0,61
8.0,71
11.0,71
13.0,74
15.0,74
17.0,67
22.0,64
25.0,63
28.0,63
30.0,66
33.0,61
36.0,61
38.0,70
43.0,62
45.0,64
47.0,64
49.0,64
51.0,64
54.0,64
60.0,64
62.0,63
67.0,62
71.0,61
74.0,61
83.0,63
88.0,64
90.0,64
93.0,64
96.0,62
99.0,62
101.0,-180
104.0,-246
106.0,-246
109.0,-335
112.0,-398
118.0,-398
122.0,-547
124.0,-587
126.0,-587
133.0,-646
142.0,-741
144.0,-773
149.0,-806
152.0,-833
154.0,-858
156.0,-858
159.0,-883
161.0,-883
163.0,-908
169.0,-908
171.0,-933
173.0,-933
175.0,-960
181.0,-960
184.0,-973
186.0,-973
189.0,-983
191.0,-985
193.0,-985
196.0,-997
202.0,-1016
205.0,-1007
208.0,-1005
211.0,-1005
218.0,-1028
221.0,-1022
224.0,-1022
226.0,-1025
228.0,-1037
230.0,-1037
235.0,-1042
243.0,-1045
245.0,-1041
247.0,-1041
253.0,-1052
256.0,-1052
258.0,-1048
260.0,-1048
263.0,-1045
265.0,-1045
268.0,-1039
270.0,-1057
275.0,-1057
279.0,-1051
284.0,-1060
288.0,-1054
293.0,-1050
295.0,-1058
298.0,-1058
300.0,-1056
303.0,-1056
308.0,-1054
311.0,-1054
316.0,-1054
319.0,-1059
321.0,-1055
326.0,-1055
329.0,-1055
332.0,-1055
334.0,-1048
337.0,-1064
346.0,-1053
352.0,-1046
356.0,-1061
359.0,-1055
361.0,-1055
364.0,-1064
366.0,-1065
369.0,-1065
371.0,-1050
373.0,-1050
376.0,-1052
382.0,-1059
386.0,-1060
389.0,-1053
393.0,-1054
399.0,-1061
404.0,-1063
406.0,-1063
408.0,-1060
411.0,-1060
413.0,-1045
418.0,-1061
421.0,-1063
425.0,-1063
428.0,-1054
430.0,-1054
432.0,-1053
435.0,-1053
437.0,-1066
439.0,-1066
442.0,-1059
444.0,-1059
449.0,-1051
452.0,-1059
454.0,-1048
456.0,-1048
458.0,-1051
460.0,-1051
463.0,-1061
465.0,-1061
468.0,-1061
474.0,-1055
477.0,-1055
481.0,-1060
483.0,-1061
486.0,-1061
488.0,-1058
490.0,-1058
499.0,-1060
502.0,-1060
504.0,-1064
507.0,-1064
515.0,-1057
519.0,-1064
522.0,-1064
525.0,-1063
527.0,-1063
530.0,-1052
532.0,-1058
535.0,-1058
537.0,-1057
539.0,-1057
543.0,-1058
545.0,-1066
548.0,-1066
550.0,-1056
553.0,-1054
555.0,-1054
557.0,-1064
559.0,-1064
565.0,-1066
571.0,-1059
573.0,-1054
575.0,-1057
577.0,-1057
581.0,-1054
585.0,-1054
587.0,-1063
590.0,-1063
593.0,-1048
597.0,-1050
601.0,-1062
605.0,-1065
607.0,-1061
610.0,-1061
613.0,-1051
616.0,-1061
622.0,-1057
624.0,-1063
626.0,-1063
631.0,-1060
636.0,-1057
641.0,-1063
644.0,-1063
646.0,-1062
652.0,-1052
655.0,-1052
657.0,-1062
660.0,-1062
662.0,-1062
666.0,-1062
669.0,-1062
674.0,-1058
676.0,-1057
683.0,-1071
686.0,-1071
688.0,-1067
691.0,-1053
693.0,-1053
695.0,-1054
701.0,-1054
704.0,-1064
709.0,-1061
711.0,-1058
713.0,-1058
718.0,-1058
721.0,-1057
724.0,-1068
726.0,-1068
729.0,-1065
733.0,-1050
736.0,-1050
740.0,-1054
743.0,-1063
747.0,-1064
750.0,-1058
754.0,-1060
756.0,-1060
758.0,-1048
761.0,-1055
765.0,-1055
768.0,-1072
771.0,-1063
775.0,-1051
777.0,-1051
780.0,-1060
786.0,-1065
790.0,-1055
792.0,-1061
798.0,-1061
801.0,-1055
806.0,-1059
808.0,-1066
810.0,-1066
812.0,-1062
815.0,-1062
817.0,-1044
819.0,-1044
821.0,-1054
826.0,-1069
828.0,-1057
831.0,-1057
833.0,-1057
835.0,-1057
843.0,-1058
849.0,-1062
852.0,-1062
855.0,-1058
863.0,-1065
865.0,-1065
868.0,-1064
870.0,-1054
875.0,-1054
878.0,-1058
881.0,-1058
885.0,-1058
889.0,-1057
891.0,-1061
894.0,-1061
896.0,-1054
898.0,-1054
900.0,-1049
902.0,-1049
904.0,-1061
907.0,-1061
912.0,-1064
915.0,-1054
917.0,-1054
920.0,-1058
926.0,-1058
928.0,-1064
933.0,-1058
936.0,-1058
938.0,-1058
941.0,-1052
944.0,-1052
948.0,-1063
951.0,-1054
954.0,-1050
956.0,-1050
958.0,-1050
963.0,-1050
967.0,-1054
972.0,-1063
975.0,-1067
979.0,-1067
984.0,-1062
