t_ms,value
0.0,0
4.0,0
7.0,0
13.0,0
18.0,0
21.0,0
26.0,0
29.0,0
31.0,0
37.0,0
40.0,0
43.0,0
45.0,0
48.0,0
51.0,0
54.0,0
56.0,0
64.0,0
67.0,0
73.0,0
78.0,0
80.0,0
85.0,0
88.0,0
92.0,0
94.0,0
97.0,0
103.0,0
106.0,0
109.0,0
111.0,0
114.0,0
119.0,0
123.0,0
128.0,0
131.0,253
137.0,253
140.0,253
143.0,253
147.0,253
150.0,253
154.0,253
159.0,253
162.0,253
165.0,253
175.0,253
178.0,246
181.0,246
184.0,246
186.0,246
191.0,246
193.0,246
197.0,246
203.0,246
208.0,246
212.0,246
223.0,246
226.0,241
231.0,241
234.0,241
237.0,241
240.0,241
243.0,241
248.0,241
253.0,241
259.0,241
266.0,241
269.0,241
272.0,238
274.0,238
280.0,238
283.0,238
286.0,238
290.0,238
295.0,238
302.0,238
305.0,238
308.0,238
314.0,238
317.0,235
319.0,235
328.0,235
333.0,235
336.0,235
341.0,235
347.0,235
349.0,235
352.0,235
358.0,235
362.0,235
365.0,234
367.0,234
370.0,234
374.0,234
384.0,234
386.0,234
392.0,234
396.0,234
399.0,234
401.0,234
