t_ms,value
0.0,0
5.0,0
8.0,0
11.0,0
18.0,0
21.0,0
24.0,0
27.0,0
35.0,0
41.0,0
44.0,0
46.0,0
49.0,0
53.0,0
57.0,0
61.0,0
64.0,0
71.0,0
74.0,0
78.0,0
80.0,252
82.0,252
85.0,252
87.0,252
90.0,252
92.0,252
95.0,252
97.0,252
100.0,252
105.0,252
108.0,252
111.0,252
116.0,252
120.0,252
125.0,252
129.0,246
131.0,246
133.0,246
136.0,246
138.0,246
141.0,246
145.0,246
149.0,246
153.0,246
156.0,246
159.0,246
161.0,246
166.0,246
169.0,246
171.0,241
173.0,241
176.0,241
179.0,241
181.0,241
183.0,241
186.0,241
188.0,241
195.0,241
198.0,241
200.0,241
202.0,241
206.0,241
211.0,241
217.0,241
219.0,238
221.0,238
224.0,238
226.0,238
233.0,238
235.0,238
237.0,238
240.0,238
242.0,238
248.0,238
251.0,238
254.0,238
259.0,238
262.0,238
264.0,238
266.0,236
269.0,236
273.0,236
277.0,236
280.0,236
282.0,236
284.0,236
287.0,236
295.0,236
297.0,236
299.0,236
304.0,236
307.0,236
310.0,236
315.0,234
318.0,234
320.0,234
325.0,234
328.0,234
330.0,234
332.0,234
337.0,234
339.0,234
342.0,234
345.0,234
349.0,234
352.0,234
354.0,234
359.0,234
362.0,233
364.0,233
367.0,233
369.0,233
372.0,233
374.0,233
377.0,233
384.0,233
387.0,233
392.0,233
395.0,233
397.0,233
400.0,233
406.0,232
