t_ms,value
0.0,0
6.0,0
8.0,0
11.0,0
14.0,0
18.0,0
20.0,0
22.0,0
24.0,0
29.0,0
32.0,0
34.0,0
39.0,0
42.0,0
44.0,0
47.0,0
49.0,0
52.0,0
58.0,0
61.0,252
63.0,252
66.0,252
75.0,252
77.0,252
82.0,252
84.0,252
87.0,252
89.0,252
97.0,252
103.0,252
106.0,246
109.0,246
111.0,246
114.0,246
116.0,246
121.0,246
126.0,246
129.0,246
132.0,246
134.0,246
137.0,246
140.0,246
143.0,246
152.0,246
158.0,242
162.0,242
166.0,242
175.0,242
177.0,242
179.0,242
185.0,242
187.0,242
189.0,242
192.0,242
195.0,242
211.0,239
217.0,239
220.0,239
222.0,239
225.0,239
229.0,239
233.0,239
235.0,239
240.0,239
242.0,239
244.0,239
250.0,237
253.0,237
255.0,237
261.0,237
264.0,237
267.0,237
270.0,237
273.0,237
275.0,237
277.0,237
280.0,237
285.0,237
288.0,237
293.0,235
296.0,235
299.0,235
302.0,235
305.0,235
311.0,235
317.0,235
320.0,235
323.0,235
326.0,235
329.0,235
331.0,235
341.0,234
343.0,234
346.0,234
350.0,234
353.0,234
355.0,234
358.0,234
364.0,234
366.0,234
373.0,234
376.0,234
378.0,234
381.0,234
389.0,233
391.0,233
395.0,233
400.0,233
403.0,233
405.0,233
