t_ms,value
0.0,0
4.0,0
8.0,0
12.0,0
15.0,0
18.0,0
20.0,0
23.0,0
25.0,0
27.0,0
32.0,0
37.0,0
39.0,0
41.0,0
44.0,0
46.0,0
48.0,0
50.0,254
52.0,254
55.0,254
58.0,254
63.0,254
66.0,254
69.0,254
74.0,254
77.0,254
80.0,254
82.0,254
87.0,254
90.0,254
94.0,254
97.0,247
99.0,247
101.0,247
106.0,247
118.0,247
122.0,247
127.0,247
131.0,247
135.0,247
138.0,247
142.0,247
144.0,243
147.0,243
150.0,243
152.0,243
155.0,243
158.0,243
160.0,243
163.0,243
165.0,243
167.0,243
170.0,243
173.0,243
177.0,243
180.0,243
182.0,243
185.0,243
187.0,243
193.0,239
197.0,239
199.0,239
204.0,239
206.0,239
209.0,239
214.0,239
216.0,239
218.0,239
221.0,239
226.0,239
229.0,239
232.0,239
236.0,239
241.0,237
247.0,237
250.0,237
253.0,237
255.0,237
258.0,237
260.0,237
263.0,237
268.0,237
271.0,237
275.0,237
277.0,237
280.0,237
282.0,237
284.0,235
286.0,235
289.0,235
295.0,235
298.0,235
301.0,235
303.0,235
307.0,235
310.0,235
312.0,235
323.0,235
327.0,235
330.0,234
335.0,234
338.0,234
340.0,234
346.0,234
349.0,234
354.0,234
358.0,234
361.0,234
363.0,234
366.0,234
369.0,234
371.0,234
373.0,234
376.0,234
382.0,233
384.0,233
386.0,233
395.0,233
397.0,233
400.0,233
405.0,233
