t_ms,value
0.0,0
4.0,0
7.0,0
10.0,0
12.0,0
15.0,0
19.0,0
23.0,0
28.0,0
31.0,0
36.0,0
39.0,0
44.0,0
47.0,0
50.0,0
53.0,0
55.0,0
60.0,0
67.0,0
70.0,0
74.0,0
76.0,0
78.0,0
81.0,0
84.0,0
89.0,0
93.0,0
97.0,253
100.0,253
102.0,253
112.0,253
115.0,253
117.0,253
120.0,253
123.0,253
132.0,253
135.0,253
138.0,253
144.0,247
147.0,247
149.0,247
153.0,247
156.0,247
159.0,247
162.0,247
165.0,247
168.0,247
170.0,247
173.0,247
178.0,247
184.0,247
187.0,247
196.0,243
203.0,243
206.0,243
209.0,243
212.0,243
215.0,243
218.0,243
220.0,243
232.0,243
234.0,243
237.0,239
243.0,239
246.0,239
249.0,239
252.0,239
259.0,239
262.0,239
265.0,239
268.0,239
271.0,239
276.0,239
283.0,239
286.0,237
290.0,237
294.0,237
298.0,237
309.0,237
311.0,237
314.0,237
317.0,237
319.0,237
324.0,237
329.0,237
335.0,235
343.0,235
348.0,235
351.0,235
353.0,235
356.0,235
360.0,235
363.0,235
366.0,235
368.0,235
371.0,235
380.0,234
382.0,234
389.0,234
397.0,234
400.0,234
402.0,234
